소요산, 1, 동두천, 1
동두천, 1, 소요산, 1
동두천, 1, 보산, 1
보산, 1, 동두천, 1
보산, 1, 동두천중앙, 1
동두천중앙, 1, 보산, 1
동두천중앙, 1, 지행, 1
지행, 1, 동두천중앙, 1 
지행, 1, 덕정, 1
덕정, 1, 지행, 1
덕정, 1, 덕계, 1
덕계, 1, 덕정, 1
덕계, 1, 양주, 1
양주, 1, 덕계, 1
양주, 1, 녹양, 1
녹양, 1, 양주, 1
녹양, 1, 가능, 1
가능, 1, 녹양, 1
가능, 1, 의정부, 1
의정부, 1, 가능, 1
의정부, 1, 회룡, 1
회룡, 1, 의정부, 1
회룡, 1, 망월사, 1
망월사, 1, 회룡, 1
망월사, 1, 도봉산, 1
도봉산, 1, 망월사, 1
도봉산, 1, 도봉, 1
도봉, 1, 도봉산, 1
도봉, 1, 방학, 1
방학, 1, 도봉, 1
방학, 1, 창동, 1
창동, 1, 방학, 1
창동, 1, 녹천, 1
녹천, 1, 창동, 1
녹천, 1, 월계, 1
월계, 1, 녹천, 1
월계, 1, 성북, 1
성북, 1, 월계, 1
성북, 1, 석계, 1
석계, 1, 성북, 1
석계, 1, 신이문, 1
신이문, 1, 석계, 1
신이문, 1, 외대앞, 1
외대앞, 1, 신이문, 1
외대앞, 1, 회기, 1
회기, 1, 외대앞, 1
회기, 1, 청량리, 1
청량리, 1, 회기, 1
청량리, 1, 제기동, 1
제기동, 1, 청량리, 1
제기동, 1, 신설동, 1
신설동, 1, 제기동, 1
신설동, 1, 동묘앞, 1
동묘앞, 1, 신설동, 1
동묘앞, 1, 동대문, 1
동대문, 1, 동묘앞, 1
동대문, 1, 종로5가, 1
종로5가, 1, 동대문, 1
종로5가, 1, 종로3가, 1
종로3가, 1, 종로5가, 1
종로3가, 1, 종각, 1
종각, 1, 종로3가, 1
종각, 1, 시청, 1
시청, 1, 종각, 1
시청, 1, 서울역, 1
서울역, 1, 시청, 1
서울역, 1, 남영, 1
남영, 1, 서울역, 1
남영, 1, 용산, 1
